keys,ko,en
기록실도 끝이네. 엄마 이름이 적혀 있던 그 서류철도 다 타 버렸겠지.,기록실도 끝이네. 엄마 이름이 적혀 있던 그 서류철도 다 타 버렸겠지.,So the records room is gone too. The file with Mom's name on it must've burned up with it.
"로사, 좋은 소식이 있다. M-04가 물고 온 쪽지 덕분에 설산 오두막 위치를 알아냈지. 어제 수색대를 보냈다.","로사, 좋은 소식이 있다. M-04가 물고 온 쪽지 덕분에 설산 오두막 위치를 알아냈지. 어제 수색대를 보냈다.","Jessie, good news. Thanks to the note M-04 brought back, we've located the cabin in the snowy mountains. I sent a search party yesterday."
도망친 단원은 끝까지 찾아낸다. 네 엄마도 예외는 아니다.,도망친 단원은 끝까지 찾아낸다. 네 엄마도 예외는 아니다.,We always hunt down deserters. Your mother is no exception.
로사는 대답하지 않았다. 대신 나를 한 번 쳐다봤다. 그 눈빛을 오래 잊지 못할 것 같았다.,로사는 대답하지 않았다. 대신 나를 한 번 쳐다봤다. 그 눈빛을 오래 잊지 못할 것 같았다.,Jessie didn't answer. She just looked at me once. I had a feeling I wouldn't forget that look for a long time.
"퇴근길, 창고 정문 앞에 뾰족머리 소년이 버티고 서 있었다. 오박사의 손자, 그린이었다.","퇴근길, 창고 정문 앞에 뾰족머리 소년이 버티고 서 있었다. 오박사의 손자, 그린이었다.","On my way home, a spiky-haired boy stood planted at the warehouse gate. Professor Oak's grandson, Blue."
…너? 태초마을 옆집 살던 애 아니야? 너 로켓단이었냐?,…너? 태초마을 옆집 살던 애 아니야? 너 로켓단이었냐?,...You? Aren't you the kid from next door in Pallet Town? You're with Team Rocket?
우리 누나 포니타가 이 창고를 거쳐 갔다는 걸 알아. 어디로 보냈어. 말해.,우리 누나 포니타가 이 창고를 거쳐 갔다는 걸 알아. 어디로 보냈어. 말해.,I know my sister's Ponyta came through this warehouse. Where'd you send it? Talk.
노랑시티 본사 연구동이라고 알려 준다 (의심도 +20),노랑시티 본사 연구동이라고 알려 준다 (의심도 +20),Tell him: the HQ Research Wing in Saffron City (Suspicion +20)
그래? 말로 안 하겠다면 포켓몬으로 하자. 지면 경찰서까지 끌고 간다.,그래? 말로 안 하겠다면 포켓몬으로 하자. 지면 경찰서까지 끌고 간다.,"Oh yeah? If you won't talk, we'll battle. If you lose, I'm dragging you to the police."
그린의 피죤투,그린의 피죤투,Blue's Pidgeot
…말도 안 돼. 로켓단 창고 직원한테 지다니. 오늘은 돌아가지만 누나 포니타는 내가 꼭 찾는다.,…말도 안 돼. 로켓단 창고 직원한테 지다니. 오늘은 돌아가지만 누나 포니타는 내가 꼭 찾는다.,"...No way. Beaten by some Team Rocket warehouse worker? I'll back off for today, but I WILL find my sister's Ponyta."
역시 그 정도구나. 경찰한테 네 이름부터 대 주지. 레드한테도 말해 둘 거야.,역시 그 정도구나. 경찰한테 네 이름부터 대 주지. 레드한테도 말해 둘 거야.,Figures. I'm giving your name to the police first thing. I'm telling Red too.
…본사 연구동. 알았어. 고맙다는 말은 안 해.,…본사 연구동. 알았어. 고맙다는 말은 안 해.,...The HQ Research Wing. Got it. Don't expect me to thank you.
4주차 수요일,4주차 수요일,Week 4 · Wednesday
할당량 5마리. 오늘은 간부 후보 임명식이 있다.,할당량 5마리. 오늘은 간부 후보 임명식이 있다.,Quota: 5 Pokémon. Today is the Executive candidate appointment ceremony.
[수배] 마그마 (실프 보일러실),[수배] 마그마 (실프 보일러실),[Wanted] Magmar (Silph Boiler Room)
마그마,마그마,Magmar
실프 보일러실.,실프 보일러실.,Silph boiler room.
실프 물류팀 창고.,실프 물류팀 창고.,Silph logistics storeroom.
상자를 스스로 들어 옮기려 한다. 작업복 명찰에 '물류팀 막내 알통이'.,상자를 스스로 들어 옮기려 한다. 작업복 명찰에 '물류팀 막내 알통이'.,It keeps trying to carry crates on its own. The name tag on its work uniform reads 'Logistics Rookie Muscles.'
노랑시티 실프 물류팀,노랑시티 실프 물류팀,"Silph Logistics Team, Saffron City"
[상록일보] 실프 물류팀 알통몬 복귀. 점거 중인 빌딩에 몰래 식량 상자를 날랐다.,[상록일보] 실프 물류팀 알통몬 복귀. 점거 중인 빌딩에 몰래 식량 상자를 날랐다.,[Viridian Daily] Silph Logistics' Machop is back on the job. It had been sneaking food crates into the occupied building.
실프 옥상 온실.,실프 옥상 온실.,Silph rooftop greenhouse.
4주차 수요일 · 임명식,4주차 수요일 · 임명식,Week 4 · Wednesday · The Ceremony
"신입, 앞으로 나와라. 오늘부로 넌 간부 후보다. 선물도 준비했다.","신입, 앞으로 나와라. 오늘부로 넌 간부 후보다. 선물도 준비했다.","Rookie, step forward. As of today, you're an Executive candidate. I've even got a gift for you."
아폴로가 건넨 몬스터볼에는 스티커가 붙어 있었다. '오박사 연구소 관리 번호 001.',아폴로가 건넨 몬스터볼에는 스티커가 붙어 있었다. '오박사 연구소 관리 번호 001.',"The Poké Ball Archer handed over had a sticker on it: 'Professor Oak's Lab, Control No. 001.'"
연구소 개체다. 네가 직접 검수해서 올려 보낸 녀석이지. 로켓단 간부의 첫 포켓몬으로 이만한 게 없지.,연구소 개체다. 네가 직접 검수해서 올려 보낸 녀석이지. 로켓단 간부의 첫 포켓몬으로 이만한 게 없지.,A lab specimen. You inspected and shipped it up yourself. No better first Pokémon for a Team Rocket Executive.
몬스터볼을 받는다,몬스터볼을 받는다,Accept the Poké Ball
받을 자격이 없다고 한다,받을 자격이 없다고 한다,Say you don't deserve it
배부른 소리군. 그럼 세나에게 주지.,배부른 소리군. 그럼 세나에게 주지.,"How ungrateful. Fine, Sena gets it."
"세나, 앞으로 나와라. 로이를 찾은 공으로 오늘부터 간부 후보다.","세나, 앞으로 나와라. 로이를 찾은 공으로 오늘부터 간부 후보다.","Sena, step forward. For finding James, you're an Executive candidate as of today."
세나가 받은 몬스터볼에는 스티커가 붙어 있었다. '오박사 연구소 관리 번호 001.' 내가 검수해서 올려 보낸 그 녀석이었다.,세나가 받은 몬스터볼에는 스티커가 붙어 있었다. '오박사 연구소 관리 번호 001.' 내가 검수해서 올려 보낸 그 녀석이었다.,"The Poké Ball Sena received had a sticker: 'Professor Oak's Lab, Control No. 001.' The very one I had inspected and sent up."
…이상해씨네. 나 포켓몬 받은 거 처음이야. 가디 뺏긴 뒤로 처음.,…이상해씨네. 나 포켓몬 받은 거 처음이야. 가디 뺏긴 뒤로 처음.,...A Bulbasaur. This is the first Pokémon anyone's ever given me. The first since they took my Growlithe.
이제 빚만 갚으면 돼. 본사가 약속했으니까.,이제 빚만 갚으면 돼. 본사가 약속했으니까.,Now I just have to pay off my debt. HQ promised.
임명식은 열리지 않았다. 아폴로는 오전 내내 전화기를 붙들고 소리를 질렀다. 실프 빌딩 쪽 소식이 좋지 않은 모양이었다.,임명식은 열리지 않았다. 아폴로는 오전 내내 전화기를 붙들고 소리를 질렀다. 실프 빌딩 쪽 소식이 좋지 않은 모양이었다.,"The ceremony never happened. Archer spent the whole morning yelling into the phone. Things weren't going well at Silph, it seemed."
4주차 목요일,4주차 목요일,Week 4 · Thursday
할당량 5마리. 창고 안이 어수선하다.,할당량 5마리. 창고 안이 어수선하다.,Quota: 5 Pokémon. The warehouse is in chaos.
[수배] 실프 관리 번호가 붙은 개체 전부,[수배] 실프 관리 번호가 붙은 개체 전부,[Wanted] All specimens with Silph control numbers
[상록일보] 사파리존에서 새끼 캥카 한 마리가 어미를 찾아 울며 헤매고 있다.,[상록일보] 사파리존에서 새끼 캥카 한 마리가 어미를 찾아 울며 헤매고 있다.,"[Viridian Daily] A baby Kangaskhan is wandering the Safari Zone, crying for its mother."
캥카,캥카,Kangaskhan
배 주머니가 비어 있다. 계속 상자 벽을 더듬는다.,배 주머니가 비어 있다. 계속 상자 벽을 더듬는다.,Its belly pouch is empty. It keeps feeling along the crate walls.
붐볼,붐볼,Electrode
실프 관리 번호가 붙어 있다. 조금씩 부풀어 오르고 있다. 곧 터질 것 같다.,실프 관리 번호가 붙어 있다. 조금씩 부풀어 오르고 있다. 곧 터질 것 같다.,It's tagged with a Silph control number. It's slowly swelling up. It looks ready to blow.
[상록일보] 로켓단 트럭 적재함 폭발. 짐칸의 상자 여러 개가 부서졌다.,[상록일보] 로켓단 트럭 적재함 폭발. 짐칸의 상자 여러 개가 부서졌다.,[Viridian Daily] Team Rocket truck's cargo bed explodes. Several crates in the back were destroyed.
[상록일보] 상록시티 외곽 풀밭에서 한밤중 폭발음. 로켓단 창고 쪽이라는 신고.,[상록일보] 상록시티 외곽 풀밭에서 한밤중 폭발음. 로켓단 창고 쪽이라는 신고.,[Viridian Daily] Late-night explosion in a field outside Viridian City. Reports say it came from the Team Rocket warehouse.
실프 수면 연구실.,실프 수면 연구실.,Silph sleep research lab.
실프 옥상에서 잡았다.,실프 옥상에서 잡았다.,Caught on the Silph rooftop.
발목에 쪽지가 묶여 있다. '11층에 사장님과 사원 서른 명이 갇혀 있음. 경찰에 전해 주세요.',발목에 쪽지가 묶여 있다. '11층에 사장님과 사원 서른 명이 갇혀 있음. 경찰에 전해 주세요.',A note is tied to its leg: 'The president and 30 staff are trapped on 11F. Please tell the police.'
[상록일보] 실프 빌딩에서 날아온 피죤의 발목에 구조 요청 쪽지. 경찰 특공대가 출동 준비에 들어갔다.,[상록일보] 실프 빌딩에서 날아온 피죤의 발목에 구조 요청 쪽지. 경찰 특공대가 출동 준비에 들어갔다.,[Viridian Daily] Pidgeotto flies out of the Silph building with a rescue note tied to its leg. Police special forces prepare to move in.
4주차 목요일 · 전야,4주차 목요일 · 전야,Week 4 · Thursday · The Night Before
"[상록일보] 로켓단, 노랑시티 실프주식회사 점거 나흘째. 소년 트레이너 레드 군이 실프 빌딩 안으로 들어가는 모습이 목격됐다.","[상록일보] 로켓단, 노랑시티 실프주식회사 점거 나흘째. 소년 트레이너 레드 군이 실프 빌딩 안으로 들어가는 모습이 목격됐다.",[Viridian Daily] Team Rocket's takeover of Silph Co. in Saffron City enters day four. Boy Trainer Red was seen entering the Silph building.
창고 안 전화가 하루 종일 울렸다. 트럭은 오전에 한 번 오고 오후에는 오지 않았다.,창고 안 전화가 하루 종일 울렸다. 트럭은 오전에 한 번 오고 오후에는 오지 않았다.,The warehouse phone rang all day. The truck came once in the morning and never came back in the afternoon.
밤새 원룸 구석에서 폴리곤이 창고 단말기 전선에 몸을 대고 있었다. 녀석은 본사 기록망에 들어가 있었다.,밤새 원룸 구석에서 폴리곤이 창고 단말기 전선에 몸을 대고 있었다. 녀석은 본사 기록망에 들어가 있었다.,"All night, Porygon sat in a corner of the apartment, pressed against the warehouse terminal's cable. It had slipped into HQ's records network."
검수 기록에서 내 이름만 지우게 한다 (수사망 -50),검수 기록에서 내 이름만 지우게 한다 (수사망 -50),Have it erase only my name from the inspection records (Police Heat -50)
로사와 로이의 이름까지 지우게 한다 (수사망 -35),로사와 로이의 이름까지 지우게 한다 (수사망 -35),Have it erase Jessie's and James's names too (Police Heat -35)
아무것도 지우지 않는다,아무것도 지우지 않는다,Don't erase anything
폴리곤이 삐빅 소리를 내더니 조용해졌다. 모니터의 서명란에서 내 이름이 사라졌다.,폴리곤이 삐빅 소리를 내더니 조용해졌다. 모니터의 서명란에서 내 이름이 사라졌다.,"Porygon beeped, then went quiet. My name vanished from the signature field on the monitor."
폴리곤이 삐빅 소리를 내더니 조용해졌다. 모니터의 서명란이 하나씩 빈칸이 되었다. 로사와 로이의 이름도.,폴리곤이 삐빅 소리를 내더니 조용해졌다. 모니터의 서명란이 하나씩 빈칸이 되었다. 로사와 로이의 이름도.,"Porygon beeped, then went quiet. One by one, the signature fields on the monitor went blank. Jessie's and James's names too."
밤늦게 미안. 잠깐 창고로 와 줄래? 셋이 할 얘기가 있어.,밤늦게 미안. 잠깐 창고로 와 줄래? 셋이 할 얘기가 있어.,Sorry it's so late. Can you come to the warehouse for a bit? The three of us need to talk.
실프 쪽이 무너지고 있어. 본사가 무너지면 아폴로 간부님은 창고에 있는 걸 전부 싣고 도망칠 거야. 상자까지 전부.,실프 쪽이 무너지고 있어. 본사가 무너지면 아폴로 간부님은 창고에 있는 걸 전부 싣고 도망칠 거야. 상자까지 전부.,"Silph's falling apart. If HQ goes down, Executive Archer will load up everything in the warehouse and run. Crates and all."
그래서 트럭 열쇠를 하나 몰래 복사해 뒀다옹. 내 목걸이에 달려 있다옹.,그래서 트럭 열쇠를 하나 몰래 복사해 뒀다옹. 내 목걸이에 달려 있다옹.,"So I secretly copied a truck key, meow. It's hanging on my collar, meow."
"내일 무슨 일이 생기면, 우리는 마지막 트럭을 몰고 나갈 거야. 상자에 든 녀석들을 전부 풀어 줄 거야. 너도 올지는 네가 정해.","내일 무슨 일이 생기면, 우리는 마지막 트럭을 몰고 나갈 거야. 상자에 든 녀석들을 전부 풀어 줄 거야. 너도 올지는 네가 정해.","If anything happens tomorrow, we're driving off in the last truck. We'll free every Pokémon in those crates. Whether you come is up to you."
같이 가겠다고 한다,같이 가겠다고 한다,Say you'll come
하룻밤 생각해 보겠다고 한다,하룻밤 생각해 보겠다고 한다,Say you'll sleep on it
좋아. 그럼 내일 정문에서 보자. 넷이서.,좋아. 그럼 내일 정문에서 보자. 넷이서.,Great. See you at the front gate tomorrow. All four of us.
"…나 방금 본사에 전화해 봤어. 아무도 안 받아. 간부가 되면 빚을 갚아 준다던 약속, 누가 지켜 줄까?","…나 방금 본사에 전화해 봤어. 아무도 안 받아. 간부가 되면 빚을 갚아 준다던 약속, 누가 지켜 줄까?",...I just called HQ. Nobody's answering. That promise to pay off my debt once I made Executive... who's going to keep it now?
4주차 금요일,4주차 금요일,Week 4 · Friday
4주차 금요일 · 불,4주차 금요일 · 불,Week 4 · Friday · Fire
"[라디오 속보] 실프주식회사 점거 사태 끝. 로켓단 두목 비주기, 실프 빌딩 11층에서 소년 트레이너에게 패배. 비주기는 로켓단 해산을 선언하고 자취를 감췄다.","[라디오 속보] 실프주식회사 점거 사태 끝. 로켓단 두목 비주기, 실프 빌딩 11층에서 소년 트레이너에게 패배. 비주기는 로켓단 해산을 선언하고 자취를 감췄다.",[Radio Bulletin] The Silph Co. takeover is over. Team Rocket boss Giovanni was defeated by a boy Trainer on Silph's 11th floor. Giovanni declared Team Rocket disbanded and vanished.
다들 들었나. 기록은 전부 태운다. 창고에 있는 상자는 전부 트럭에 싣는다. 우리는 오늘 밤 성도로 간다.,다들 들었나. 기록은 전부 태운다. 창고에 있는 상자는 전부 트럭에 싣는다. 우리는 오늘 밤 성도로 간다.,"You all heard. We burn every record. Every crate in the warehouse goes on the truck. Tonight, we leave for Johto."
로켓단은 끝나지 않았다. 보스가 없으면 우리가 다시 세운다. 3년이면 충분하다.,로켓단은 끝나지 않았다. 보스가 없으면 우리가 다시 세운다. 3년이면 충분하다.,"Team Rocket isn't finished. If the boss is gone, we'll rebuild it ourselves. Three years is plenty."
…빚은요? 간부가 되면 갚아 준다고 했잖아요.,…빚은요? 간부가 되면 갚아 준다고 했잖아요.,...What about my debt? You said you'd pay it off once I made Executive!
보스가 한 약속이다. 보스는 이제 없다.,보스가 한 약속이다. 보스는 이제 없다.,That was the boss's promise. The boss is gone.
아폴로가 서류 더미에 불을 붙였다. 불길은 금세 옆에 쌓인 상자 더미로 옮겨붙었다. 상자 안에서 포켓몬들이 울기 시작했다.,아폴로가 서류 더미에 불을 붙였다. 불길은 금세 옆에 쌓인 상자 더미로 옮겨붙었다. 상자 안에서 포켓몬들이 울기 시작했다.,"Archer set the pile of papers on fire. The flames quickly spread to the stacked crates beside it. Inside, the Pokémon began to cry out."
그때 뒷문이 벌컥 열렸다. 선글라스를 낀 꼬부기 다섯 마리가 줄지어 들어와 불길에 물대포를 쏘았다. 입사 둘째 날 풀어준 그 녀석이 맨 앞에 있었다.,그때 뒷문이 벌컥 열렸다. 선글라스를 낀 꼬부기 다섯 마리가 줄지어 들어와 불길에 물대포를 쏘았다. 입사 둘째 날 풀어준 그 녀석이 맨 앞에 있었다.,Then the back door burst open. Five Squirtle in sunglasses marched in and blasted the flames with Water Gun. At the front was the one I let go on my second day.
불길은 상자 더미 안쪽까지 번졌다. 앞쪽 상자를 끌어내는 사이 안쪽에서 들리던 울음소리가 하나둘 끊겼다.,불길은 상자 더미 안쪽까지 번졌다. 앞쪽 상자를 끌어내는 사이 안쪽에서 들리던 울음소리가 하나둘 끊겼다.,"The fire spread deep into the stacks of crates. While I dragged out the ones up front, the cries from further in went quiet, one by one."
멀리서 사이렌 소리가 들렸다. 경찰이 오고 있었다.,멀리서 사이렌 소리가 들렸다. 경찰이 오고 있었다.,Sirens wailed in the distance. The police were on their way.
이제 정해야 한다.,이제 정해야 한다.,Now I have to decide.
아폴로를 따라 트럭에 탄다,아폴로를 따라 트럭에 탄다,Get in the truck with Archer
현명하군. 너 같은 녀석이 살아남는다.,현명하군. 너 같은 녀석이 살아남는다.,Smart. Your kind survives.
트럭 짐칸에는 상자가 빽빽했다. 트럭은 사이렌 소리와 반대쪽으로 달렸다.,트럭 짐칸에는 상자가 빽빽했다. 트럭은 사이렌 소리와 반대쪽으로 달렸다.,The cargo bed was packed with crates. The truck sped off away from the sirens.
주머니 속 몬스터볼이 조금 흔들렸다. 관리 번호 001. 로켓단이 준 내 첫 포켓몬이었다.,주머니 속 몬스터볼이 조금 흔들렸다. 관리 번호 001. 로켓단이 준 내 첫 포켓몬이었다.,"The Poké Ball in my pocket wobbled a little. Control No. 001. My first Pokémon, courtesy of Team Rocket."
"3년 뒤, 성도지방","3년 뒤, 성도지방","Three years later, Johto"
나는 아폴로 밑에서 창고 하나를 맡고 있다. 오늘 신입이 한 명 들어왔다.,나는 아폴로 밑에서 창고 하나를 맡고 있다. 오늘 신입이 한 명 들어왔다.,I run a warehouse under Archer now. A new hire started today.
…상자에 가끔 편지나 이름표 같은 게 딸려 와. 그런 건 그냥 안 읽는 게 편해.,…상자에 가끔 편지나 이름표 같은 게 딸려 와. 그런 건 그냥 안 읽는 게 편해.,...Sometimes crates come with letters or name tags. It's easier if you just don't read them.
그게 누가 했던 말인지 떠올리는 데 한참 걸렸다.,그게 누가 했던 말인지 떠올리는 데 한참 걸렸다.,It took me a long while to remember who used to say that.
타다 남은 기록 상자를 안고 경찰에게 간다,타다 남은 기록 상자를 안고 경찰에게 간다,Take the half-burned records box to the police
타다 남은 기록 상자를 끌어안고 창고 정문으로 나갔다. 경찰차 불빛이 눈을 찔렀다.,타다 남은 기록 상자를 끌어안고 창고 정문으로 나갔다. 경찰차 불빛이 눈을 찔렀다.,I hugged the half-burned records box and walked out the front gate. The police lights stung my eyes.
경찰은 이미 이 창고 위치를 알고 있었다. 실프 옥상에서 날아온 피죤의 쪽지 덕분이라고 했다.,경찰은 이미 이 창고 위치를 알고 있었다. 실프 옥상에서 날아온 피죤의 쪽지 덕분이라고 했다.,The police already knew where the warehouse was. They said a note came by Pidgeotto from the roof of Silph Co.
당신 이름은 이미 수사 목록 맨 위에 있어요. 검수 서명이 몇 개인지 알아요?,당신 이름은 이미 수사 목록 맨 위에 있어요. 검수 서명이 몇 개인지 알아요?,Your name is already at the top of our list. Do you know how many inspection forms you signed?
그 상자로 살 수 있는 건 형량뿐이에요. 누구 이름을 댈 건지 정해요.,그 상자로 살 수 있는 건 형량뿐이에요. 누구 이름을 댈 건지 정해요.,That box can only buy you a shorter sentence. Decide whose names you're giving us.
"나는 진술서에 이름을 적었다. 아폴로, 본사 변호사, 그리고 끝까지 내 편이 아니었던 사람들의 이름을.","나는 진술서에 이름을 적었다. 아폴로, 본사 변호사, 그리고 끝까지 내 편이 아니었던 사람들의 이름을.","I wrote the names in my statement. Archer, the HQ lawyer, and everyone who was never really on my side."
형량은 절반으로 줄었다. 창살 너머로 보이는 하늘은 창고 뒷문 밖 하늘과 똑같았다.,형량은 절반으로 줄었다. 창살 너머로 보이는 하늘은 창고 뒷문 밖 하늘과 똑같았다.,My sentence was cut in half. The sky through the bars looked just like the sky outside the warehouse back door.
"잠깐, 쏘지 마! …3호가 꼬리를 흔들잖아. 당신, 그때 그 사람이죠?","잠깐, 쏘지 마! …3호가 꼬리를 흔들잖아. 당신, 그때 그 사람이죠?","Wait, hold your fire! ...No. 3 is wagging its tail. You're that person from before, aren't you?"
"3호가 그날 혼자 돌아온 것도 당신 덕분이었나 보군요. 그 상자, 우리가 받겠습니다.","3호가 그날 혼자 돌아온 것도 당신 덕분이었나 보군요. 그 상자, 우리가 받겠습니다.",So you're the reason No. 3 made it back alone that day. We'll take that box.
나는 수갑을 찼다. 기록 상자는 증거물 봉투에 담겼다. 석 달 동안 나는 매일 경찰서에서 진술서를 썼다.,나는 수갑을 찼다. 기록 상자는 증거물 봉투에 담겼다. 석 달 동안 나는 매일 경찰서에서 진술서를 썼다.,"They cuffed me. The records box went into an evidence bag. For three months, I wrote statements at the station every day."
기록 상자에는 로켓단이 한 달 동안 훔친 포켓몬의 목록이 전부 들어 있었다. 경찰은 그 목록으로 주인을 하나씩 찾아 주기 시작했다.,기록 상자에는 로켓단이 한 달 동안 훔친 포켓몬의 목록이 전부 들어 있었다. 경찰은 그 목록으로 주인을 하나씩 찾아 주기 시작했다.,"The box held a full list of every Pokémon Team Rocket stole that month. The police used it to find their owners, one by one."
나도 진술할게. 기록 상자 안에 사채업자 장부도 있더라. 로켓단이랑 한통속이었어.,나도 진술할게. 기록 상자 안에 사채업자 장부도 있더라. 로켓단이랑 한통속이었어.,I'll testify too. The box had the loan shark's ledger in it. He was in bed with Team Rocket.
선배들과 마지막 트럭을 몰고 나간다,선배들과 마지막 트럭을 몰고 나간다,Drive out the last truck with Jessie and James
열쇠 여기 있다옹! 짐칸에 상자는 다 실었다옹!,열쇠 여기 있다옹! 짐칸에 상자는 다 실었다옹!,"Here's the key! The crates are all loaded, meow!"
"로이가 운전대를 잡고, 로사와 나는 짐칸에 올랐다. 창고 정문 앞을 아폴로가 막아서고 있었다.","로이가 운전대를 잡고, 로사와 나는 짐칸에 올랐다. 창고 정문 앞을 아폴로가 막아서고 있었다.",James took the wheel. Jessie and I climbed into the back. Archer was blocking the front gate.
그때 정문 경비실에서 또 한 명의 아폴로가 걸어 나왔다. 그 아폴로는 눈이 점 두 개였다. 그 아폴로가 정문 레버를 당겼다.,그때 정문 경비실에서 또 한 명의 아폴로가 걸어 나왔다. 그 아폴로는 눈이 점 두 개였다. 그 아폴로가 정문 레버를 당겼다.,Then a second Archer walked out of the guardhouse. This one had two dots for eyes. It pulled the gate lever.
"뭐, 뭐야? 나는 여기 있는데!","뭐, 뭐야? 나는 여기 있는데!",Wh-what?! I'm right here!
정문이 열렸다. 메타몽은 흐물흐물 녹아 짐칸으로 뛰어올랐다. 풀밭에서 돌봐 주던 그 녀석이었다.,정문이 열렸다. 메타몽은 흐물흐물 녹아 짐칸으로 뛰어올랐다. 풀밭에서 돌봐 주던 그 녀석이었다.,The gate opened. The Ditto melted into goo and hopped into the truck bed. It was the one I'd looked after in the meadow.
"어딜 가려고. 또도가스, 막아라.","어딜 가려고. 또도가스, 막아라.","Going somewhere? Weezing, stop them."
아폴로의 또도가스,아폴로의 또도가스,Archer's Weezing
또도가스가 연기를 뿜으며 쓰러졌다. 로이가 그 틈에 정문 레버를 당겼다. 트럭이 연기 속을 뚫고 나갔다.,또도가스가 연기를 뿜으며 쓰러졌다. 로이가 그 틈에 정문 레버를 당겼다. 트럭이 연기 속을 뚫고 나갔다.,"Weezing collapsed in a cloud of smoke. James used the chance to pull the gate lever, and the truck tore through the smoke."
내가 막을게. 먼저 가!,내가 막을게. 먼저 가!,I'll hold him off. Go!
로이가 운전석에서 뛰어내려 아폴로에게 달려들었다. 로사가 운전대를 잡았다. 돌아봤을 때 로이는 아폴로의 부하들에게 둘러싸여 있었다.,로이가 운전석에서 뛰어내려 아폴로에게 달려들었다. 로사가 운전대를 잡았다. 돌아봤을 때 로이는 아폴로의 부하들에게 둘러싸여 있었다.,"James jumped out of the driver's seat and tackled Archer. Jessie grabbed the wheel. When I looked back, James was surrounded by Archer's goons."
트럭은 밤새 달려 상록숲 끝자락에 멈췄다. 우리는 상자를 하나씩 열었다.,트럭은 밤새 달려 상록숲 끝자락에 멈췄다. 우리는 상자를 하나씩 열었다.,We drove all night and stopped at the edge of Viridian Forest. We opened the crates one by one.
달빛 아래로 포켓몬들이 흩어졌다. 마지막 상자까지 비었을 때 해가 뜨고 있었다.,달빛 아래로 포켓몬들이 흩어졌다. 마지막 상자까지 비었을 때 해가 뜨고 있었다.,"The Pokémon scattered under the moonlight. By the time the last crate was empty, the sun was rising."
이제 어디로 가지? 로켓단 옷밖에 없는데.,이제 어디로 가지? 로켓단 옷밖에 없는데.,So where do we go now? All we've got are Team Rocket uniforms.
그럼 그 옷 입고 다니면 된다옹. 이름만 로켓단이고 하는 짓은 반대인 로켓단이다옹.,그럼 그 옷 입고 다니면 된다옹. 이름만 로켓단이고 하는 짓은 반대인 로켓단이다옹.,"Then we wear 'em! Team Rocket in name, but doing the opposite, meow."
좋네. 매번 실패하는 로켓단. 뭔가를 훔치려다 꼭 놓쳐 버리는 로켓단.,좋네. 매번 실패하는 로켓단. 뭔가를 훔치려다 꼭 놓쳐 버리는 로켓단.,I like it. A Team Rocket that always fails. That always lets what it steals slip away.
로이를 데리러 가자. 성도든 어디든. 우리는 원래 셋이었어. 이제 넷이고.,로이를 데리러 가자. 성도든 어디든. 우리는 원래 셋이었어. 이제 넷이고.,Let's go get James. Johto or wherever. There were always three of us. Now there are four.
혼자 조용히 뒷문으로 나간다,혼자 조용히 뒷문으로 나간다,Slip out the back door alone
뒷문 밖 풀밭을 지나 걸었다. 뒤에서 사이렌 소리와 고함이 섞여 들렸다. 돌아보지 않았다.,뒷문 밖 풀밭을 지나 걸었다. 뒤에서 사이렌 소리와 고함이 섞여 들렸다. 돌아보지 않았다.,"I walked through the meadow out back. Behind me, sirens mixed with shouting. I didn't look back."
사흘을 걸어 태초마을에 닿았다.,사흘을 걸어 태초마을에 닿았다.,"After three days on foot, I reached Pallet Town."
집 앞 골목에 검은 양복 둘이 서 있었다. 아폴로의 부하들이었다.,집 앞 골목에 검은 양복 둘이 서 있었다. 아폴로의 부하들이었다.,Two men in black suits stood in the alley by my house. Archer's men.
잊었나? 경찰에서 네 이름을 빼 준 게 누군지. 우리 사람은 도망치지 않는다.,잊었나? 경찰에서 네 이름을 빼 준 게 누군지. 우리 사람은 도망치지 않는다.,Forgot who kept your name out of the police files? Our people don't run.
나는 아폴로 밑에서 창고 하나를 맡고 있다. 도망친 적이 있다는 건 아무도 모른다.,나는 아폴로 밑에서 창고 하나를 맡고 있다. 도망친 적이 있다는 건 아무도 모른다.,I run a warehouse under Archer now. Nobody knows I once tried to run.
집 앞에 경찰차가 서 있었다. 아버지가 대문 앞에서 경찰과 이야기하고 있었다.,집 앞에 경찰차가 서 있었다. 아버지가 대문 앞에서 경찰과 이야기하고 있었다.,"A police car was parked outside my house. My father stood at the gate, talking with an officer."
아버지는 나를 보고도 아무 말을 하지 않았다. 수갑이 채워지는 동안 대문을 닫지도 않았다.,아버지는 나를 보고도 아무 말을 하지 않았다. 수갑이 채워지는 동안 대문을 닫지도 않았다.,My father saw me and said nothing. He didn't close the gate while they cuffed me.
집 앞에서 한참을 서 있다가 문을 열었다. 아버지는 아무 말 없이 밥을 차렸다.,집 앞에서 한참을 서 있다가 문을 열었다. 아버지는 아무 말 없이 밥을 차렸다.,I stood outside the house for a long time before opening the door. My father set the table without a word.
"다음 날 아침, 빈 몬스터볼을 들고 오박사 연구소에 갔다.","다음 날 아침, 빈 몬스터볼을 들고 오박사 연구소에 갔다.","The next morning, I took my empty Poké Ball to Professor Oak's lab."
